Cust_ID,Age,State,City Tier,Avg Daily Distance Travells (km),Annual Income Range
Cust_001,18,Karnataka,Tier 3,68.84,500000-800000
Cust_002,23,Rajasthan,Tier 3,23.8,150000-300000
Cust_003,60,Madhya Pradesh,Tier 3,27.67,500000-800000
Cust_004,44,Karnataka,Tier 1,62.85,300000-500000
Cust_005,68,Madhya Pradesh,Tier 3,10.62,150000-300000
Cust_006,21,Maharashtra,Tier 3,47.71,500000-800000
Cust_007,57,Maharashtra,Metro,77.95,150000-300000
Cust_008,68,Tamil Nadu,Tier 3,11.57,800000-1200000
Cust_009,39,Punjab,Tier 2,78.63,300000-500000
Cust_010,55,Rajasthan,Tier 3,22.94,150000-300000
Cust_011,26,Karnataka,Tier 2,24.14,150000-300000
Cust_012,62,Gujarat,Tier 1,19,150000-300000
Cust_013,65,Uttar Pradesh,Tier 3,38.38,300000-500000
Cust_014,35,Karnataka,Tier 2,31.41,150000-300000
Cust_015,68,Madhya Pradesh,Tier 1,39.71,150000-300000
Cust_016,39,Gujarat,Tier 3,46.96,150000-300000
Cust_017,74,Delhi,Tier 3,13.65,800000-1200000
Cust_018,59,Uttar Pradesh,Metro,53.78,300000-500000
Cust_019,63,Rajasthan,Tier 2,21.42,300000-500000
Cust_020,67,West Bengal,Tier 3,50.28,500000-800000
Cust_021,47,Punjab,Tier 3,25.39,500000-800000
Cust_022,46,Madhya Pradesh,Metro,28.45,500000-800000
Cust_023,40,Punjab,Metro,55.57,500000-800000
Cust_024,46,Punjab,Tier 3,73.15,300000-500000
Cust_025,37,Delhi,Tier 2,10.94,150000-300000
Cust_026,26,Gujarat,Metro,17.06,150000-300000
Cust_027,35,Maharashtra,Tier 1,37.17,300000-500000
Cust_028,32,West Bengal,Tier 1,12.26,150000-300000
Cust_029,33,Karnataka,Tier 3,25.34,150000-300000
Cust_030,34,Delhi,Metro,51.69,300000-500000
Cust_031,34,Madhya Pradesh,Tier 3,78.17,1200000+
Cust_032,35,Rajasthan,Tier 1,33.03,500000-800000
Cust_033,33,Delhi,Metro,72.94,150000-300000
Cust_034,32,Karnataka,Metro,29.17,150000-300000
Cust_035,33,Madhya Pradesh,Tier 2,45.65,150000-300000
Cust_036,32,Uttar Pradesh,Metro,33.98,800000-1200000
Cust_037,34,Tamil Nadu,Tier 2,18.12,150000-300000
Cust_038,31,Gujarat,Tier 1,17.48,500000-800000
Cust_039,32,Rajasthan,Tier 2,25.74,800000-1200000
Cust_040,35,Rajasthan,Tier 1,79.18,500000-800000
Cust_041,33,Uttar Pradesh,Tier 3,64.42,500000-800000
Cust_042,34,West Bengal,Tier 2,29.76,500000-800000
Cust_043,33,Punjab,Tier 1,42.6,150000-300000
Cust_044,31,Tamil Nadu,Metro,74.11,500000-800000
Cust_045,35,Rajasthan,Metro,79,150000-300000
Cust_046,35,Punjab,Tier 1,67.67,300000-500000
Cust_047,32,Gujarat,Tier 3,32.57,300000-500000
Cust_048,35,Maharashtra,Tier 1,32.87,300000-500000
Cust_049,32,Maharashtra,Tier 2,62.48,1200000+
Cust_050,34,Uttar Pradesh,Metro,41.44,300000-500000
Cust_051,31,Gujarat,Tier 1,52.31,1200000+
Cust_052,33,West Bengal,Tier 3,28.27,300000-500000
Cust_053,31,Uttar Pradesh,Tier 3,75.79,300000-500000
Cust_054,35,Gujarat,Tier 2,46.83,300000-500000
Cust_055,35,Tamil Nadu,Tier 1,41.97,500000-800000
Cust_056,34,Uttar Pradesh,Tier 1,52.27,800000-1200000
Cust_057,32,Uttar Pradesh,Tier 2,47.4,500000-800000
Cust_058,31,Madhya Pradesh,Metro,52.29,800000-1200000
Cust_059,33,Delhi,Tier 1,45.11,300000-500000
Cust_060,34,Gujarat,Tier 3,40.19,150000-300000
Cust_061,33,Uttar Pradesh,Tier 2,17.75,800000-1200000
Cust_062,31,Maharashtra,Tier 3,24.39,500000-800000
Cust_063,35,Tamil Nadu,Tier 1,5.01,500000-800000
Cust_064,33,Rajasthan,Tier 1,13.83,500000-800000
Cust_065,31,Madhya Pradesh,Metro,29.36,800000-1200000
Cust_066,33,Delhi,Tier 3,50.37,500000-800000
Cust_067,35,Tamil Nadu,Tier 3,66.35,500000-800000
Cust_068,35,West Bengal,Tier 2,42.56,300000-500000
Cust_069,35,Rajasthan,Tier 1,12.34,300000-500000
Cust_070,34,Tamil Nadu,Tier 3,12.59,800000-1200000
Cust_071,33,Tamil Nadu,Tier 1,41.75,150000-300000
Cust_072,33,Rajasthan,Metro,52.51,300000-500000
Cust_073,33,Madhya Pradesh,Tier 2,60.79,500000-800000
Cust_074,34,West Bengal,Tier 1,28.5,500000-800000
Cust_075,32,West Bengal,Tier 2,37.54,150000-300000
Cust_076,31,West Bengal,Tier 3,71.47,800000-1200000
Cust_077,35,Uttar Pradesh,Tier 1,26.27,500000-800000
Cust_078,34,Madhya Pradesh,Tier 1,70.9,500000-800000
Cust_079,35,Punjab,Tier 2,62.97,500000-800000
Cust_080,34,Delhi,Tier 2,65.75,300000-500000
Cust_081,34,Delhi,Tier 2,47.8,500000-800000
Cust_082,35,Punjab,Tier 3,36.81,500000-800000
Cust_083,33,Karnataka,Tier 2,35.39,150000-300000
Cust_084,32,Gujarat,Tier 1,24.81,150000-300000
Cust_085,34,Uttar Pradesh,Tier 2,26.88,800000-1200000
Cust_086,34,West Bengal,Tier 1,43.79,1200000+
Cust_087,33,West Bengal,Tier 3,55.91,150000-300000
Cust_088,34,Punjab,Tier 2,44.7,150000-300000
Cust_089,31,Uttar Pradesh,Tier 1,13.58,300000-500000
Cust_090,33,West Bengal,Tier 3,11.01,300000-500000
Cust_091,34,Karnataka,Tier 3,32.64,150000-300000
Cust_092,35,Madhya Pradesh,Tier 3,39.46,1200000+
Cust_093,34,West Bengal,Tier 3,48.16,300000-500000
Cust_094,33,Punjab,Metro,30.35,150000-300000
Cust_095,34,Tamil Nadu,Tier 3,22.58,500000-800000
Cust_096,35,Karnataka,Metro,60.74,800000-1200000
Cust_097,34,Tamil Nadu,Tier 2,20.63,150000-300000
Cust_098,34,Tamil Nadu,Tier 3,8.92,150000-300000
Cust_099,32,Maharashtra,Tier 2,23.12,800000-1200000
Cust_100,31,Karnataka,Tier 3,31.27,800000-1200000
Cust_101,35,Tamil Nadu,Tier 1,76.53,150000-300000
Cust_102,34,Tamil Nadu,Tier 2,68.73,150000-300000
Cust_103,35,Madhya Pradesh,Metro,56.35,500000-800000
Cust_104,32,Madhya Pradesh,Tier 2,59.34,800000-1200000
Cust_105,35,Punjab,Metro,75.51,150000-300000
Cust_106,35,Maharashtra,Metro,56.7,500000-800000
Cust_107,34,Gujarat,Tier 1,30.39,300000-500000
Cust_108,33,Karnataka,Tier 2,74.59,150000-300000
Cust_109,31,Delhi,Tier 1,58.04,500000-800000
Cust_110,35,Maharashtra,Tier 2,13.42,150000-300000
Cust_111,34,Tamil Nadu,Metro,9.38,300000-500000
Cust_112,32,Karnataka,Tier 1,22.43,800000-1200000
Cust_113,33,Delhi,Metro,64.54,800000-1200000
Cust_114,34,Delhi,Metro,55.63,500000-800000
Cust_115,33,Uttar Pradesh,Metro,56.01,150000-300000
Cust_116,33,Delhi,Tier 1,59.65,300000-500000
Cust_117,35,Tamil Nadu,Metro,57.46,300000-500000
Cust_118,34,Maharashtra,Tier 3,12.21,300000-500000
Cust_119,34,Tamil Nadu,Tier 1,31.13,800000-1200000
Cust_120,33,Rajasthan,Metro,68.86,500000-800000
Cust_121,32,Maharashtra,Tier 1,40.26,300000-500000
Cust_122,34,Madhya Pradesh,Tier 2,56.33,1200000+
Cust_123,31,Maharashtra,Tier 2,58.88,300000-500000
Cust_124,33,Madhya Pradesh,Metro,38.92,300000-500000
Cust_125,32,Gujarat,Tier 1,42.76,800000-1200000
Cust_126,33,Madhya Pradesh,Tier 3,71.06,150000-300000
Cust_127,35,Tamil Nadu,Tier 2,33.77,300000-500000
Cust_128,32,Punjab,Tier 2,36.19,300000-500000
Cust_129,31,Punjab,Tier 3,38.31,500000-800000
Cust_130,31,Gujarat,Tier 2,34.94,150000-300000
Cust_131,35,Maharashtra,Tier 2,48.08,150000-300000
Cust_132,35,Madhya Pradesh,Tier 3,41.71,500000-800000
Cust_133,32,Maharashtra,Tier 1,19.62,1200000+
Cust_134,35,Tamil Nadu,Tier 1,17.72,300000-500000
Cust_135,35,Maharashtra,Tier 2,37.9,500000-800000
Cust_136,34,Rajasthan,Tier 3,35.83,1200000+
Cust_137,35,Uttar Pradesh,Metro,46.01,300000-500000
Cust_138,34,Uttar Pradesh,Tier 3,38.37,300000-500000
Cust_139,33,Tamil Nadu,Tier 2,57.96,800000-1200000
Cust_140,34,Punjab,Tier 3,42.28,300000-500000
