Sale_ID,Cust_ID,Bikes,Sale_date,Resale Price (INR),Payment_Mode,EMI_Duration_Months,Satisfaction
1,Cust_003,Hunter 350,2024-05-12,149934.18,UPI,0,9
2,Cust_004,Dominar 400,2025-02-05,66960.3,Cash,0,2
3,Cust_006,125 Duke,2025-01-24,141522.64,EMI,9,8
4,Cust_008,Ninja 300,2024-03-25,56057.22,UPI,0,1
5,Cust_009,FZ V3,2025-01-14,132538.36,UPI,0,10
6,Cust_012,Splendor Plus,2025-02-03,47466.45,UPI,0,10
7,Cust_013,Meteor 350,2025-01-05,175038.79,UPI,0,5
8,Cust_014,Vulcan S,2024-10-30,96676.39,Cash,0,1
9,Cust_017,390 Adventure,2024-04-16,103908.96,Cash,0,1
10,Cust_020,HF Deluxe,2024-07-03,146320.5,Card,0,6
11,Cust_021,Jupiter,2024-09-11,83042.09,Cash,0,3
12,Cust_022,Vulcan S,2024-06-12,180614.03,UPI,0,8
13,Cust_023,Z650,2024-08-08,235841.3,Card,0,4
14,Cust_024,Fascino 125,2024-10-02,139468.03,Cash,0,6
15,Cust_025,Xtreme 160R,2024-07-25,118831.51,Card,0,10
16,Cust_027,Ninja 300,2024-10-11,72475.12,Card,0,10
17,Cust_028,Xtreme 160R,2024-07-03,249938.95,UPI,0,8
18,Cust_029,Hunter 350,2024-08-08,123383.54,UPI,0,4
19,Cust_031,Versys 650,2024-08-08,137540.87,Cash,0,10
20,Cust_033,Glamour,2024-12-07,74810.24,Card,0,10
21,Cust_036,MT-15,2025-01-21,116719.31,Cash,0,7
22,Cust_037,Dominar 400,2024-04-19,80786.82,UPI,0,5
23,Cust_042,HF Deluxe,2024-04-08,172445.74,Cash,0,7
24,Cust_044,Versys 650,2024-10-16,207103.09,EMI,3,7
25,Cust_045,Versys 650,2024-05-26,156687.31,EMI,6,10
26,Cust_046,Ninja 300,2024-08-23,145292.42,UPI,0,2
27,Cust_050,Activa,2024-09-29,111451.3,Card,0,7
28,Cust_051,Ray ZR,2025-01-07,150350.99,UPI,0,3
29,Cust_052,Hunter 350,2024-11-03,181145.09,UPI,0,8
30,Cust_053,Dominar 400,2025-02-11,274058.16,EMI,12,8
31,Cust_054,Fascino 125,2024-08-06,57652.94,Cash,0,9
32,Cust_055,Avenger 220,2025-02-01,196062.13,Card,0,4
33,Cust_056,Passion Pro,2024-07-21,67381.9,Cash,0,10
34,Cust_060,FZ V3,2024-07-11,173078.76,Card,0,3
35,Cust_062,HF Deluxe,2024-12-04,101240.49,EMI,6,9
36,Cust_063,NTorq 125,2024-06-06,56022.88,Card,0,9
37,Cust_065,R15 V4,2024-06-28,273519.68,UPI,0,2
38,Cust_066,Vulcan S,2024-08-08,131406.64,UPI,0,6
39,Cust_068,Jupiter,2024-10-27,161974.1,UPI,0,3
40,Cust_073,NTorq 125,2024-04-30,73437.25,Card,0,5
41,Cust_074,Ray ZR,2024-10-29,149668.49,EMI,18,10
42,Cust_075,Glamour,2024-10-02,56908.93,UPI,0,4
43,Cust_078,Unicorn,2024-06-08,158365.89,EMI,12,3
44,Cust_083,NTorq 125,2024-04-12,179381.6,Cash,0,2
45,Cust_085,390 Adventure,2024-03-30,42173.59,EMI,12,6
46,Cust_086,Ronin,2024-11-01,66018.44,UPI,0,3
47,Cust_087,Platina 110,2024-04-13,42720.82,EMI,24,4
48,Cust_092,Pulsar 150,2024-10-19,140421.62,UPI,0,6
49,Cust_094,Ronin,2024-09-18,105865.07,Cash,0,5
50,Cust_097,R15 V4,2024-07-13,225273.11,EMI,24,10
51,Cust_100,NTorq 125,2025-02-09,47375,UPI,0,4
52,Cust_104,Duke 200,2024-12-28,141079.28,Cash,0,2
53,Cust_106,Shine,2025-02-21,129260.78,Card,0,10
54,Cust_107,Meteor 350,2025-02-27,53718.48,Card,0,10
55,Cust_108,Classic 350,2024-12-11,106199.5,Card,0,8
56,Cust_109,Versys 650,2024-08-11,43829.89,Cash,0,5
57,Cust_110,Meteor 350,2024-12-01,90338.15,Cash,0,10
58,Cust_113,R15 V4,2024-05-02,37749.25,UPI,0,10
59,Cust_115,Dio,2024-09-29,33757.75,EMI,12,8
60,Cust_119,Sport,2024-08-14,161265.41,Cash,0,6
61,Cust_120,Ninja 400,2024-07-11,111751.02,UPI,0,10
62,Cust_122,Apache RTR 160,2024-05-07,208424.27,Cash,0,5
63,Cust_123,Shine,2025-02-15,191177.64,EMI,24,4
64,Cust_124,Sport,2024-10-28,73023.48,Cash,0,10
65,Cust_125,Glamour,2025-01-10,148291.88,UPI,0,9
66,Cust_130,RC 390,2024-05-15,104145.28,Cash,0,10
67,Cust_132,Ninja 300,2024-07-25,206857.8,UPI,0,5
68,Cust_134,Unicorn,2025-01-11,248193.98,Card,0,10
69,Cust_135,Pulsar 150,2024-08-22,130167.29,EMI,12,6
70,Cust_136,Avenger 220,2024-11-11,165176.17,UPI,0,7
71,Cust_137,FZ V3,2024-10-03,185017.03,Cash,0,1
72,Cust_139,R15 V4,2024-10-31,47612.58,Cash,0,9
73,Cust_141,Ronin,2025-02-12,96164.51,UPI,0,8
74,Cust_145,Dominar 400,2024-12-08,245041.18,UPI,0,5
75,Cust_146,Sport,2024-11-09,229843.47,UPI,0,3
76,Cust_148,Ronin,2024-05-18,117145.83,UPI,0,5
77,Cust_149,Avenger 220,2024-08-21,74877.79,Cash,0,5
78,Cust_151,Sport,2024-06-06,57421.87,Cash,0,10
